Ідентифікатор погоди,Ідентифікатор міста,Температура,Вологість,Дата,Тиск
0,Kyiv,17.2,81,2023-04-22,996.9
1,Kyiv,18.5,62,2023-04-23,999.1
2,Kyiv,18.7,69,2023-04-24,997.2
3,Kyiv,19.4,78,2023-04-25,993.1
4,Kyiv,14.4,94,2023-04-26,989.5
5,Kyiv,8.1,88,2023-04-27,996.4
6,Kyiv,12.9,74,2023-04-28,999.6
7,Kyiv,14.8,74,2023-04-29,1000.8
8,Kyiv,13.5,65,2023-04-30,997.4
9,Kyiv,15.4,75,2023-05-01,1004.5
10,Kyiv,19.3,58,2023-05-02,1007.4
11,Kyiv,22.7,81,2023-05-03,1005.0
12,Kyiv,17.6,88,2023-05-04,1005.4
13,Kyiv,16.0,87,2023-05-05,1004.0
14,Kyiv,13.1,86,2023-05-06,1007.0
15,Kyiv,12.2,53,2023-05-07,1007.7
16,Kyiv,13.3,49,2023-05-08,1010.0
17,Kyiv,14.1,60,2023-05-09,1010.8
18,Kyiv,14.1,58,2023-05-10,1007.2
19,Kyiv,16.8,62,2023-05-11,1007.1
20,Kyiv,20.3,60,2023-05-12,1007.4
21,Kyiv,22.3,75,2023-05-13,1006.9
22,Kyiv,24.3,59,2023-05-14,1005.2
23,Kyiv,25.6,65,2023-05-15,1000.8
24,Kyiv,19.3,67,2023-05-16,998.9
25,Kyiv,21.4,68,2023-05-17,1001.0
26,Kyiv,25.5,68,2023-05-18,1002.6
27,Kyiv,21.1,76,2023-05-19,1005.8
28,Kyiv,22.2,85,2023-05-20,1006.3
29,Kyiv,19.2,71,2023-05-21,1005.2
30,Kyiv,22.2,63,2023-05-22,1001.5
31,Kyiv,24.0,73,2023-05-23,997.8
32,Kyiv,24.4,86,2023-05-24,997.5
33,Kyiv,25.8,85,2023-05-25,998.5
34,Kyiv,26.9,82,2023-05-26,998.9
35,Kyiv,24.1,68,2023-05-27,999.4
36,Kyiv,20.3,57,2023-05-28,1001.8
37,Kyiv,22.7,66,2023-05-29,1001.8
38,Kyiv,24.4,63,2023-05-30,998.6
39,Kyiv,22.0,61,2023-05-31,1000.5
40,Kyiv,25.8,57,2023-06-01,999.1
41,Kyiv,27.7,84,2023-06-02,993.2
42,Kyiv,17.6,89,2023-06-03,1004.5
43,Kyiv,20.5,68,2023-06-04,1006.5
44,Kyiv,23.6,65,2023-06-05,1005.0
45,Kyiv,27.0,64,2023-06-06,1003.7
46,Kyiv,24.5,76,2023-06-07,1002.9
47,Kyiv,22.7,85,2023-06-08,1002.9
48,Kyiv,27.1,77,2023-06-09,999.9
49,Kyiv,26.2,89,2023-06-10,997.0
50,Kyiv,16.5,89,2023-06-11,1000.3
51,Kyiv,16.7,89,2023-06-12,999.5
52,Kyiv,17.8,87,2023-06-13,998.5
53,Kyiv,23.6,90,2023-06-14,996.9
54,Kyiv,25.5,86,2023-06-15,997.1
55,Kyiv,27.8,84,2023-06-16,995.9
56,Kyiv,28.6,68,2023-06-17,994.0
57,Kyiv,29.9,65,2023-06-18,995.7
58,Kyiv,29.7,75,2023-06-19,996.6
59,Kyiv,28.7,94,2023-06-20,997.7
60,Kyiv,27.8,90,2023-06-21,1000.2
61,Kyiv,30.2,80,2023-06-22,1001.6
62,Kyiv,31.9,69,2023-06-23,997.3
63,Kyiv,28.1,79,2023-06-24,996.3
64,Kyiv,22.8,94,2023-06-25,996.0
65,Kyiv,20.0,93,2023-06-26,993.3
66,Kyiv,22.8,91,2023-06-27,991.5
67,Kyiv,22.4,94,2023-06-28,989.6
68,Kyiv,19.4,90,2023-06-29,988.0
69,Kyiv,25.1,92,2023-06-30,988.4
70,Kyiv,27.5,84,2023-07-01,989.5
71,Kyiv,29.6,83,2023-07-02,989.0
72,Kyiv,27.0,85,2023-07-03,996.6
73,Kyiv,29.2,66,2023-07-04,999.2
74,Kyiv,29.6,68,2023-07-05,999.3
75,Kyiv,31.2,93,2023-07-06,997.9
76,Kyiv,25.6,91,2023-07-07,997.9
77,Kyiv,22.7,85,2023-07-08,997.6
78,Kyiv,25.5,76,2023-07-09,997.0
79,Kyiv,24.3,76,2023-07-10,996.7
80,Kyiv,22.7,91,2023-07-11,996.8
81,Kyiv,24.3,81,2023-07-12,998.0
82,Kyiv,29.6,77,2023-07-13,995.6
83,Kyiv,24.6,90,2023-07-14,997.0
84,Kyiv,25.6,73,2023-07-15,1000.0
85,Kyiv,28.0,78,2023-07-16,1001.1
86,Kyiv,31.9,74,2023-07-17,999.9
87,Kyiv,28.0,83,2023-07-18,996.4
88,Kyiv,25.6,70,2023-07-19,995.9
89,Kyiv,26.8,93,2023-07-20,992.3
90,Kyiv,24.2,94,2023-07-21,996.7
91,Kyiv,17.3,95,2023-07-22,996.9
92,Kyiv,23.4,96,2023-07-23,997.0
93,Kyiv,27.8,72,2023-07-24,996.7
94,Kyiv,30.1,69,2023-07-25,989.4
95,Kyiv,24.6,90,2023-07-26,986.2
96,Kyiv,21.7,93,2023-07-27,987.3
97,Kyiv,23.8,85,2023-07-28,991.2
98,Kyiv,25.7,78,2023-07-29,992.9
99,Kyiv,24.4,96,2023-07-30,993.4
100,Kyiv,23.7,97,2023-07-31,992.6
101,Kyiv,27.0,94,2023-08-01,992.4
102,Kyiv,28.1,95,2023-08-02,990.2
103,Kyiv,26.9,95,2023-08-03,993.1
104,Kyiv,31.7,80,2023-08-04,997.0
105,Kyiv,32.4,86,2023-08-05,998.5
106,Kyiv,34.6,76,2023-08-06,994.2
107,Kyiv,25.1,81,2023-08-07,991.6
108,Kyiv,22.3,86,2023-08-08,997.5
109,Kyiv,24.3,81,2023-08-09,1002.2
110,Kyiv,24.6,84,2023-08-10,1003.6
111,Kyiv,24.8,80,2023-08-11,1000.1
112,Kyiv,24.5,88,2023-08-12,1000.1
113,Kyiv,26.9,73,2023-08-13,1002.7
114,Kyiv,31.5,78,2023-08-14,1004.8
115,Kyiv,33.3,75,2023-08-15,1006.1
116,Kyiv,31.6,88,2023-08-16,1006.1
117,Kyiv,29.1,83,2023-08-17,1004.7
118,Kyiv,29.6,89,2023-08-18,1004.6
119,Kyiv,32.1,83,2023-08-19,1004.1
120,Kyiv,32.6,81,2023-08-20,1002.2
121,Kyiv,29.8,78,2023-08-21,999.7
122,Kyiv,26.6,81,2023-08-22,998.9
123,Kyiv,26.2,68,2023-08-23,999.0
124,Kyiv,26.5,84,2023-08-24,999.4
125,Kyiv,27.6,70,2023-08-25,998.0
126,Kyiv,31.0,73,2023-08-26,997.7
127,Kyiv,32.3,77,2023-08-27,994.1
128,Kyiv,35.2,84,2023-08-28,991.7
129,Kyiv,35.3,87,2023-08-29,992.3
130,Kyiv,32.0,85,2023-08-30,992.0
131,Kyiv,28.7,83,2023-08-31,994.6
132,Kyiv,24.9,90,2023-09-01,1000.3
133,Kyiv,24.5,80,2023-09-02,1002.7
134,Kyiv,23.9,68,2023-09-03,1002.7
135,Kyiv,23.2,80,2023-09-04,1006.0
136,Kyiv,24.2,79,2023-09-05,1006.7
137,Kyiv,25.7,82,2023-09-06,1005.6
138,Kyiv,22.8,75,2023-09-07,1008.2
139,Kyiv,23.5,78,2023-09-08,1008.2
140,Kyiv,21.1,77,2023-09-09,1005.8
